JENIS_DAGANGAN,BULAN,TAHUN,NEGERI,KAWASAN,SAIZ_SYARIKAT,KOD_DESTINASI_EKSPORT,KOD_NEGARA_ASAL,KAWASAN_EKONOMI,JUMLAH_DAGANGAN_RM,BARANGAN_UTAMA,DESTINASI_EKSPORT,NEGARA_ASAL
IMPORT,8,2015,SELANGOR,SEMENANJUNG,LARGE,MY,JP,"OTHER COUNTRIES, NES",379357.0,PERKAKAS LITAR ELEKTRIK & ALAT GANTI,Malaysia,Japan
IMPORT,3,2014,SELANGOR,SEMENANJUNG,SME_SMALL,MY,CN,"OTHER COUNTRIES, NES",13756.01,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,China
IMPORT,4,2018,SELANGOR,SEMENANJUNG,LARGE,MY,TW,"OTHER COUNTRIES, NES",122977.0,BAHAN MAKANAN UNTUK BINATANG (TIDAK TERMASUK BIJIAN BELUM DIKILANG),Malaysia,"Taiwan, Province of China"
IMPORT,10,2017,PULAU PINANG,SEMENANJUNG,LARGE,MY,HK,"OTHER COUNTRIES, NES",23530.0,JENTERA & KELENGKAPAN KHUSUS UNTUK INDUSTRI TERTENTU & ALAT GANTI,Malaysia,Hong Kong
IMPORT,9,2022,KELANTAN,SEMENANJUNG,LARGE,MY,JP,"OTHER COUNTRIES, NES",7975.0,"ALAT & PERKAKAS MENGUKUR, MEMERIKSA MENGANALISIS DAN KAWALAN",Malaysia,Japan
IMPORT,12,2023,WP KUALA LUMPUR,SEMENANJUNG,SME_MEDIUM,MY,SG,AFTA,136101.0,JENTERA & KELENGKAPAN KHUSUS UNTUK INDUSTRI TERTENTU & ALAT GANTI,Malaysia,Singapore
IMPORT,2,2024,WP KUALA LUMPUR,SEMENANJUNG,SME_SMALL,MY,DE,EU,5862.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,Germany
IMPORT,11,2024,SELANGOR,SEMENANJUNG,LARGE,MY,SG,AFTA,8427.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,Singapore
IMPORT,12,2016,SELANGOR,SEMENANJUNG,SME_SMALL,MY,TW,"OTHER COUNTRIES, NES",20273.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,"Taiwan, Province of China"
IMPORT,3,2017,SELANGOR,SEMENANJUNG,LARGE,MY,IN,SAARC,28539.0,"KAIN, TENUNAN, DARIPADA BENANG FILAMEN TIRUAN, SELAIN TENUNAN BULU DAN CHENILLE",Malaysia,India
IMPORT,2,2021,SELANGOR,SEMENANJUNG,LARGE,MY,CN,"OTHER COUNTRIES, NES",29551.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Malaysia,China
IMPORT,7,2022,PULAU PINANG,SEMENANJUNG,SME_MICRO,MY,CN,"OTHER COUNTRIES, NES",17197.0,LITAR ELEKTRONIK BERSEPADU,Malaysia,China
IMPORT,7,2018,SELANGOR,SEMENANJUNG,SME_SMALL,MY,CN,"OTHER COUNTRIES, NES",32221.0,"KELENGKAPAN TELEKOMUNIKASI, ALAT GANTI DAN AKSESORI",Malaysia,China
IMPORT,9,2024,PULAU PINANG,SEMENANJUNG,LARGE,MY,SG,AFTA,12470.0,"BARANG-BARANG PLASTIK, TSTL",Malaysia,Singapore
IMPORT,11,2015,KEDAH,SEMENANJUNG,SME_MICRO,MY,US,NAFTA,17814.0,"KELENGKAPAN TELEKOMUNIKASI, ALAT GANTI DAN AKSESORI",Malaysia,United States of America
IMPORT,2,2015,PULAU PINANG,SEMENANJUNG,SME_MEDIUM,MY,CN,"OTHER COUNTRIES, NES",247241.0,"BATANG PIPIH, BATANG BULAT, DSB DARIPADA BESI DAN KELULI",Malaysia,China
IMPORT,6,2015,SELANGOR,SEMENANJUNG,SME_SMALL,MY,DE,EU,5090.0,LITAR ELEKTRONIK BERSEPADU,Malaysia,Germany
IMPORT,11,2024,SELANGOR,SEMENANJUNG,SME_SMALL,MY,US,NAFTA,12903.0,TEMBAGA (TERMASUK ALOI),Malaysia,United States of America
IMPORT,4,2022,WP KUALA LUMPUR,SEMENANJUNG,SME_SMALL,MY,TH,AFTA,271424.0,"ALAT GANTI & AKSESORI BAGI TRAKTOR,KERETA, KENDERAAN BARANG/JALAN RAYA BERMOTOR",Malaysia,Thailand
IMPORT,4,2018,PULAU PINANG,SEMENANJUNG,SME_MICRO,MY,US,NAFTA,15877.0,"SALURAN, PAIP DAN PASANGAN BESI ATAU KELULI",Malaysia,United States of America
